,Rewards,Episode Time
0,-399,0.2838327884674072
1,-18,0.0474793910980224
2,-167,0.1586017608642578
3,-16,0.0599615573883056
4,-3916,1.955591917037964
5,-33,0.065253734588623
6,-3,0.0479998588562011
7,-138,0.1290357112884521
8,-174,0.1628637313842773
9,-145,0.1134285926818847
10,-106,0.1151661872863769
11,-198,0.1456682682037353
12,-192,0.1869618892669677
13,-133,0.09940767288208
14,-81,0.1114249229431152
15,-98,0.1128740310668945
16,-4,0.0538649559020996
17,-183,0.1587631702423095
18,-479,0.3086605072021484
19,-3916,2.1131112575531006
20,-343,0.2349567413330078
21,-3916,1.7965762615203855
22,-3916,1.9535839557647705
23,-3937,1.8474409580230715
24,-147,0.144188642501831
25,-51,0.0752272605895996
26,-34,0.0815951824188232
27,-28,0.0603048801422119
28,-32,0.0957114696502685
29,-108,0.1309432983398437
30,8,0.0709874629974365
31,-171,0.1639487743377685
32,-3916,1.9777071475982664
33,-5,0.0550799369812011
34,17,0.0593464374542236
35,-76,0.1037929058074951
36,-3916,1.8477330207824707
37,-3937,1.7844688892364502
38,-3937,3.773027420043945
39,-45,0.1310174465179443
40,-30,0.131988525390625
41,-3916,4.180268287658691
42,-23,0.1261610984802246
43,-23,0.1330506801605224
44,-77,0.1900587081909179
45,-124,0.2124638557434082
46,-264,0.4089603424072265
47,-78,0.2527682781219482
48,-63,0.1934523582458496
49,45,0.0784900188446044
50,-114,0.2492556571960449
51,-78,0.1638598442077636
52,45,0.0681049823760986
53,-149,0.2429656982421875
54,23,0.0897567272186279
55,-83,0.1810412406921386
56,-2,0.1219134330749511
57,-10,0.1015827655792236
58,27,0.0601141452789306
59,10,0.0882139205932617
60,12,0.1048173904418945
61,-93,0.2140896320343017
62,57,0.0336487293243408
63,8,0.0910561084747314
64,-3916,4.218128681182861
65,69,0.0393998622894287
66,-136,0.237781286239624
67,61,0.0471055507659912
68,-23,0.1157727241516113
69,23,0.0640203952789306
70,-3937,4.119573831558228
71,-27,0.1354446411132812
72,45,0.041816234588623
73,-29,0.1304764747619629
74,13,0.0836622714996337
75,48,0.0431883335113525
76,-71,0.1705031394958496
77,-3916,3.7357685565948486
78,-8,0.1086354255676269
79,-3937,4.011712551116943
80,-58,0.1624281406402588
81,-31,0.1197648048400878
82,58,0.0553600788116455
83,-19,0.1203868389129638
84,-3937,4.173502206802368
85,20,0.0880007743835449
86,-3937,4.021090269088745
87,-3937,4.056976318359375
88,23,0.0636196136474609
89,-3937,4.05364990234375
90,33,0.0608224868774414
91,20,0.0992920398712158
92,55,0.0340862274169921
93,-3916,4.070080518722534
94,39,0.0764839649200439
95,-3937,4.155152082443237
96,40,0.0526769161224365
97,54,0.031165599822998
98,-18,0.116816759109497
99,11,0.0802607536315918
100,6,0.0915703773498535
101,-3937,4.156232833862305
102,-3916,4.071704387664795
